Index,J1,J2,J3,J4,J5,J6,X,Y,Z,RX,RY,RZ
1,-1.84,-49.83,9.31,6.06,15.55,65.47,57.3,0.0,305.1,63.65,17.54,81.45
2,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,64.54,17.05,82.33
3,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,64.54,17.05,82.33
4,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,64.54,17.05,82.33
5,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,64.54,17.05,82.33
6,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,64.54,17.05,82.33
7,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,64.54,17.05,82.33
8,-1.75,-49.74,9.4,6.67,16.17,65.56,58.0,0.3,304.2,64.53,17.13,82.29
9,-1.75,-49.74,9.4,6.67,16.17,65.56,58.0,0.3,304.2,64.53,17.13,82.29
10,-1.75,-49.74,9.4,6.67,16.17,65.56,58.0,0.3,304.2,64.53,17.13,82.29
