Index,J1,J2,J3,J4,J5,J6,Actual_X,Actual_Y,Actual_Z,Calculated_X,Calculated_Y,Calculated_Z,Error_X,Error_Y,Error_Z,Total_Error
1.0,-1.84,-49.83,9.31,6.06,15.55,65.47,57.3,0.0,305.1,61.772047803603165,0.2808214501183399,304.1667885776864,4.472047803603168,0.2808214501183399,-0.9332114223136045,4.57700292804091
2.0,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,62.55990027219528,0.6775581382431461,303.0819450294355,4.559900272195279,0.37755813824314616,-1.1180549705645149,4.7101260659693835
3.0,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,62.55990027219528,0.6775581382431461,303.0819450294355,4.559900272195279,0.37755813824314616,-1.1180549705645149,4.7101260659693835
4.0,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,62.55990027219528,0.6775581382431461,303.0819450294355,4.559900272195279,0.37755813824314616,-1.1180549705645149,4.7101260659693835
5.0,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,62.55990027219528,0.6775581382431461,303.0819450294355,4.559900272195279,0.37755813824314616,-1.1180549705645149,4.7101260659693835
6.0,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,62.55990027219528,0.6775581382431461,303.0819450294355,4.559900272195279,0.37755813824314616,-1.1180549705645149,4.7101260659693835
7.0,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,62.55990027219528,0.6775581382431461,303.0819450294355,4.559900272195279,0.37755813824314616,-1.1180549705645149,4.7101260659693835
8.0,-1.75,-49.74,9.4,6.67,16.17,65.56,58.0,0.3,304.2,62.55990027219528,0.6775581382431461,303.0819450294355,4.559900272195279,0.37755813824314616,-1.1180549705645149,4.7101260659693835
9.0,-1.75,-49.74,9.4,6.67,16.17,65.56,58.0,0.3,304.2,62.55990027219528,0.6775581382431461,303.0819450294355,4.559900272195279,0.37755813824314616,-1.1180549705645149,4.7101260659693835
10.0,-1.75,-49.74,9.4,6.67,16.17,65.56,58.0,0.3,304.2,62.55990027219528,0.6775581382431461,303.0819450294355,4.559900272195279,0.37755813824314616,-1.1180549705645149,4.7101260659693835
