index,target_x,target_y,target_z,target_rx,target_ry,target_rz,known_j1,known_j2,known_j3,known_j4,known_j5,known_j6,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,solved_j1,solved_j2,solved_j3,solved_j4,solved_j5,solved_j6,j1_error_signed,j1_error_abs,j2_error_signed,j2_error_abs,j3_error_signed,j3_error_abs,j4_error_signed,j4_error_abs,j5_error_signed,j5_error_abs,j6_error_signed,j6_error_abs,joint_error_mean,joint_error_max,joint_error_rms,joint_error_total,fk_pos_error_x,fk_pos_error_y,fk_pos_error_z,fk_pos_error_norm,known_fk_pos_error,converged,status,quality
0,181.6,-5.2,204.5,1.64,55.06,-3.23,-0.17,23.37,16.17,4.3,-74.61,-2.9,0.1,0.1,0.1,0.1,0.1,0.1,-0.15116014035015388,23.311332789632036,16.217867282716817,184.31801472081213,74.60043533023256,-2.9160670056769478,0.01883985964985868,0.01883985964985868,-0.05866721036795752,0.05866721036795752,0.0478672827168225,0.0478672827168225,-179.98198527918788,179.98198527918788,149.21043533023254,149.21043533023254,-0.016067005676944746,0.016067005676944746,54.888976994638675,179.98198527918788,95.4439411231209,329.33386196783204,1.1368683772161603e-13,1.5987211554602254e-14,0.0,1.1480543543070017e-13,0.05388605810913387,True,success,excellent
1,188.2,-41.9,215.5,-9.02,53.72,-20.86,-13.62,26.19,5.8,-3.42,-67.85,-2.98,-0.15116014035015388,23.311332789632036,16.217867282716817,184.31801472081213,74.60043533023256,-2.9160670056769478,-13.617651932106835,26.107266765470165,5.837617346794434,176.58471656337986,67.80509397821056,-2.993170237958928,0.002348067893166217,0.002348067893166217,-0.08273323452982595,0.08273323452982595,0.03761734679443407,0.03761734679443407,-179.99528343662018,179.99528343662018,135.65509397821057,135.65509397821057,-0.013170237958917141,0.013170237958917141,52.63104105033451,179.99528343662018,92.01504860663448,315.78624630200704,-1.41824330057716e-11,8.817835350782843e-12,-9.663381206337363e-12,1.929446974072388e-11,0.058496317223529076,True,success,excellent
2,185.5,107.8,198.1,15.66,55.25,24.1,38.05,44.03,-13.71,28.65,-70.75,-19.07,-13.617651932106835,26.107266765470165,5.837617346794434,176.58471656337986,67.80509397821056,-2.993170237958928,38.048360078531935,43.94575409710623,-13.600878576254107,208.64587159344995,70.77968733077496,-19.058331055686615,-0.0016399214680689056,0.0016399214680689056,-0.08424590289376965,0.08424590289376965,0.10912142374590417,0.10912142374590417,179.99587159344992,179.99587159344992,141.52968733077495,141.52968733077495,0.011668944313385055,0.011668944313385055,53.62203918610766,179.99587159344992,93.4783266594843,321.732235116646,8.526512829121202e-14,0.0,0.0,8.526512829121202e-14,0.0691282862860536,True,success,excellent
3,168.6,4.7,249.1,85.23,-38.17,8.53,23.11,58.44,-84.9,78.57,-103.88,9.84,38.048360078531935,43.94575409710623,-13.600878576254107,208.64587159344995,70.77968733077496,-19.058331055686615,23.110216758285564,55.817414409016784,-79.85955425485845,259.1616165435065,104.35244264120273,12.27760599142373,0.00021675828557476962,0.00021675828557476962,-2.6225855909832205,2.6225855909832205,5.04044574514154,5.04044574514154,-179.40838345649348,179.40838345649348,-151.76755735879726,151.76755735879726,2.4376059914237374,2.4376059914237374,56.87946581685414,179.40838345649348,95.96786397247446,341.27679490112484,-8.463985068374313e-11,-3.128786119077631e-11,-4.75210981676355e-11,1.0198573112312167e-10,0.08911706939335627,True,success,excellent
4,212.0,10.3,198.3,86.67,-37.0,25.53,20.56,73.56,-84.99,87.97,-86.57,25.83,23.110216758285564,55.817414409016784,-79.85955425485845,259.1616165435065,104.35244264120273,12.27760599142373,20.56563492448547,71.37766272232727,-80.82049833863512,267.8586009020574,86.6476642382432,27.735066250504037,0.005634924485462989,0.005634924485462989,-2.1823372776727297,2.1823372776727297,4.169501661364876,4.169501661364876,179.88860090205742,179.88860090205742,173.21766423824317,173.21766423824317,1.905066250504035,1.905066250504035,60.228134209054616,179.88860090205742,101.97225487677295,361.3688052543277,-1.6200374375330284e-12,-5.542233338928781e-13,-6.821210263296962e-13,1.8430881415171103e-12,0.058030016099277174,True,success,excellent
5,187.8,18.8,174.7,97.47,-35.08,-1.23,24.34,77.16,-84.46,93.69,-111.79,29.88,20.56563492448547,71.37766272232727,-80.82049833863512,267.8586009020574,86.6476642382432,27.735066250504037,24.331795202764642,74.88580355177004,-80.06005513119462,274.53196994620305,111.62586627773923,32.148659616474816,-0.008204797235350725,0.008204797235350725,-2.274196448229958,2.274196448229958,4.399944868805392,4.399944868805392,-179.15803005379695,179.15803005379695,-136.58413372226073,136.58413372226073,2.268659616474821,2.268659616474821,54.11552825113387,179.15803005379695,91.99864463270224,324.6931695068032,0.0,1.0658141036401503e-14,8.526512829121202e-14,8.592868015318674e-14,0.09996915433923885,True,success,excellent
6,180.4,-4.7,220.4,-91.96,-23.52,-3.74,-21.62,65.65,-85.25,-85.86,-106.69,-3.6,24.331795202764642,74.88580355177004,-80.06005513119462,274.53196994620305,111.62586627773923,32.148659616474816,-21.620633558231262,67.28847463898775,-88.40237267031881,454.58438923785354,106.58479845267017,-2.0200318073357115,-0.000633558231271536,0.000633558231271536,1.6384746389877591,1.6384746389877591,-3.1523726703188117,3.1523726703188117,-179.55561076214644,179.55561076214644,-146.72520154732985,146.72520154732985,1.5799681926642961,1.5799681926642961,55.44204356161307,179.55561076214644,94.67806898270089,332.6522613696784,-1.1112888387287967e-11,3.4559022310531873e-12,-5.172751116333529e-12,1.2735654779022865e-11,0.03132524503329975,True,success,excellent
7,176.0,16.5,259.6,-75.76,-24.16,-11.2,-15.29,58.62,-85.34,-73.91,-92.9,3.42,-21.620633558231262,67.28847463898775,-88.40237267031881,454.58438923785354,106.58479845267017,-2.0200318073357115,-15.30050642447376,60.180936894071685,-88.35321758820407,466.1556327916125,92.50229825837404,4.835864800210831,-0.01050642447376049,0.01050642447376049,1.5609368940716877,1.5609368940716877,-3.0132175882040713,3.0132175882040713,-179.93436720838747,179.93436720838747,-174.59770174162594,174.59770174162594,1.4158648002108407,1.4158648002108407,60.0887657761623,179.93436720838747,102.36719424363059,360.5325946569738,-5.7411853049416095e-11,1.3816503496855148e-11,-3.6266101233195513e-11,6.929824484142975e-11,0.03562802803011182,True,success,excellent
8,213.0,6.7,210.0,-75.9,-29.2,-27.0,-15.46,73.38,-85.16,-78.83,-83.14,-19.33,-15.30050642447376,60.180936894071685,-88.35321758820407,466.1556327916125,92.50229825837404,4.835864800210831,-15.475238295982845,75.27372236009928,-88.83607499785285,460.95787757209166,82.81744606733042,-17.568240138499014,-0.0152382959828401,0.0152382959828401,1.8937223600992752,1.8937223600992752,-3.676074997852851,3.676074997852851,179.7878775720917,179.7878775720917,165.9574460673304,165.9574460673304,1.761759861500991,1.761759861500991,58.84868652580968,179.7878775720917,99.90475344784699,353.0921191548581,-2.879119165299926e-11,7.122302747575304e-12,-6.963318810448982e-12,3.046551693445896e-11,0.09030270917634814,True,success,excellent
9,184.2,6.1,154.0,-89.52,-18.26,12.59,-16.08,84.99,-84.37,-89.82,-118.82,-18.72,-15.475238295982845,75.27372236009928,-88.83607499785285,460.95787757209166,82.81744606733042,-17.568240138499014,-16.101863887616428,87.59915336462977,-89.39525707915443,451.50876850516306,118.80945979405674,-15.959738220663551,-0.02186388761643343,0.02186388761643343,2.609153364629776,2.609153364629776,-5.025257079154414,5.025257079154414,-178.671231494837,178.671231494837,-122.37054020594326,122.37054020594326,2.760261779336446,2.760261779336446,51.90971796858622,178.671231494837,88.44738406465903,311.45830781151733,-6.906475391588174e-12,1.0018652574217413e-12,-4.831690603168681e-13,6.9954691529224285e-12,0.09265494280496198,True,success,excellent
10,234.2,-26.6,166.6,-4.63,30.99,10.64,-10.63,97.2,-85.25,-15.73,-74.79,23.02,-16.101863887616428,87.59915336462977,-89.39525707915443,451.50876850516306,118.80945979405674,-15.959738220663551,-10.608964843915844,94.69625473919045,-80.4489623816016,524.4486066272359,76.99938049488928,22.35802827216661,0.021035156084167284,0.021035156084167284,-2.503745260809552,2.503745260809552,4.8010376183983965,4.8010376183983965,-179.82139337276408,179.82139337276408,151.78938049488931,151.78938049488931,-0.6619717278333894,0.6619717278333894,56.59976060512982,179.82139337276408,96.09501105428176,339.5985636307789,-2.2035919755580835e-09,2.297326773259556e-10,3.2375169212173205e-10,2.2390645046373752e-09,0.061607362692814555,True,success,excellent
11,240.1,-12.1,158.5,-26.85,36.38,-6.53,-10.45,97.03,-85.34,-31.2,-70.04,15.29,-10.608964843915844,94.69625473919045,-80.4489623816016,524.4486066272359,76.99938049488928,22.35802827216661,-10.442102955862785,94.57725224540229,-80.62108428950853,509.2166749613018,71.98721183535972,14.042839696782343,0.007897044137223475,0.007897044137223475,-2.452747754597709,2.452747754597709,4.718915710491473,4.718915710491473,-179.58332503869815,179.58332503869815,142.0272118353597,142.0272118353597,-1.2471603032176688,1.2471603032176688,55.00620961441698,179.58332503869815,93.49843059457957,330.0372576865019,8.526512829121202e-14,-1.7763568394002505e-14,0.0,8.709584642567778e-14,0.036268177529371705,True,success,excellent
12,57.3,0.0,305.1,63.65,17.54,81.45,-1.84,-49.83,9.31,6.06,15.55,65.47,-10.442102955862785,94.57725224540229,-80.62108428950853,509.2166749613018,71.98721183535972,14.042839696782343,-1.955778721723483,48.557114763078175,-178.6167284797207,361.77830467914936,105.00280982976263,-108.16534820682108,-0.1157787217234727,0.1157787217234727,98.38711476307816,98.38711476307816,172.07327152027926,172.07327152027926,-4.281695320850645,4.281695320850645,89.4528098297626,89.4528098297626,-173.63534820682108,173.63534820682108,89.65766972708587,173.63534820682108,113.62116937141859,537.9460183625152,1.6342482922482304e-13,1.105331104422902e-13,-3.410605131648481e-13,3.940146151495901e-13,0.0404171284986031,True,success,excellent
13,58.0,0.3,304.2,64.54,17.05,82.33,-1.75,-49.74,9.4,6.67,16.17,65.65,-1.955778721723483,48.557114763078175,-178.6167284797207,361.77830467914936,105.00280982976263,-108.16534820682108,-0.3281093769243469,48.73729102705465,-178.6993444356088,360.57317671992996,105.69323943020889,-108.35737979783096,1.4218906230756545,1.4218906230756545,98.47729102705466,98.47729102705466,171.90065556439117,171.90065556439117,-6.096823280070112,6.096823280070112,89.52323943020889,89.52323943020889,-174.00737979783096,174.00737979783096,90.23787995377192,174.00737979783096,113.7099994728785,541.4272797226315,-2.6290081223123707e-13,-2.7422508708241367e-14,0.0,2.6432712886818437e-13,0.0628677185832124,True,success,excellent
