Index,X,Y,Z,RX,RY,RZ,J1_known,J2_known,J3_known,J4_known,J5_known,J6_known,J1_sol,J2_sol,J3_sol,J4_sol,J5_sol,J6_sol,J1_err_signed,J2_err_signed,J3_err_signed,J4_err_signed,J5_err_signed,J6_err_signed,J1_err_abs,J2_err_abs,J3_err_abs,J4_err_abs,J5_err_abs,J6_err_abs,Total_error_norm,status
0,181.6,-5.2,204.5,1.64,55.06,-3.23,-0.17,23.37,16.17,4.3,-74.61,-2.9,,,,,,,,,,,,,,,,,,,,fail: Inverse kinematics did not converge
1,188.2,-41.9,215.5,-9.02,53.72,-20.86,-13.62,26.19,5.8,-3.42,-67.85,-2.98,-56.48035800845876,-62.61719944660417,-71.08480086620065,90.01298248062659,39.204373862264106,10.815021311703902,-42.860358008458775,-88.80719944660417,-76.88480086620065,93.4329824806266,107.05437386226413,13.795021311703891,42.860358008458775,88.80719944660417,76.88480086620065,93.4329824806266,107.05437386226413,13.795021311703891,189.77793696226752,ok
2,185.5,107.8,198.1,15.66,55.25,24.1,38.05,44.03,-13.71,28.65,-70.75,-19.07,,,,,,,,,,,,,,,,,,,,fail: Inverse kinematics did not converge
3,168.6,4.7,249.1,85.23,-38.17,8.53,23.11,58.44,-84.9,78.57,-103.88,9.84,-62.91319616162182,-66.07511446910624,-66.3492487509008,89.95848907069913,-31.18575921785118,-29.611211249524388,-86.02319616162183,-124.51511446910624,18.55075124909922,11.388489070699137,72.69424078214882,-39.45121124952439,86.02319616162183,124.51511446910624,18.55075124909922,11.388489070699137,72.69424078214882,39.45121124952439,173.83521730731812,ok
4,212.0,10.3,198.3,86.67,-37.0,25.53,20.56,73.56,-84.99,87.97,-86.57,25.83,-50.75403533481389,-60.64848918006671,-66.45871800627032,89.99061200705349,-19.958903591493335,-22.636254829470033,-71.3140353348139,-134.20848918006672,18.531281993729692,2.0206120070535007,66.61109640850665,-48.46625482947002,71.3140353348139,134.20848918006672,18.531281993729692,2.0206120070535007,66.61109640850665,48.46625482947002,173.87097949595798,ok
5,187.8,18.8,174.7,97.47,-35.08,-1.23,24.34,77.16,-84.46,93.69,-111.79,29.88,-50.66408651678309,-60.638074981992574,-68.67824909342306,90.00172011445395,-86.68274203957793,-17.742962417233095,-75.00408651678309,-137.79807498199256,15.781750906576917,-3.688279885546052,25.10725796042209,-47.62296241723311,75.00408651678309,137.79807498199256,15.781750906576917,3.688279885546052,25.10725796042209,47.62296241723311,166.6580645658519,ok
6,180.4,-4.7,220.4,-91.96,-23.52,-3.74,-21.62,65.65,-85.25,-85.86,-106.69,-3.6,-58.30821483504682,-63.433427324353545,-68.30146649399721,90.04500257064358,17.7672494260081,13.04844803629258,-36.688214835046836,-129.08342732435355,16.948533506002775,175.90500257064355,124.4572494260081,16.648448036292592,36.688214835046836,129.08342732435355,16.948533506002775,175.90500257064355,124.4572494260081,16.648448036292592,254.9610887795845,ok
7,176.0,16.5,259.6,-75.76,-24.16,-11.2,-15.29,58.62,-85.34,-73.91,-92.9,3.42,-62.73801488599726,-65.95570630502269,-64.67855136321474,90.04150062473825,13.606576454222552,10.15166468534004,-47.44801488599725,-124.57570630502269,20.66144863678528,163.95150062473823,106.50657645422257,6.731664685340036,47.44801488599725,124.57570630502269,20.66144863678528,163.95150062473823,106.50657645422257,6.731664685340036,237.62654917396364,ok
8,213.0,6.7,210.0,-75.9,-29.2,-27.0,-15.46,73.38,-85.16,-78.83,-83.14,-19.33,-52.25849607667834,-61.030215932860905,-66.2544187351794,90.04592977749628,16.032431313467796,12.554036483320173,-36.79849607667833,-134.4102159328609,18.905581264820597,168.87592977749625,99.17243131346777,31.884036483320187,36.79849607667833,134.4102159328609,18.905581264820597,168.87592977749625,99.17243131346777,31.884036483320187,243.20464435715934,ok
9,184.2,6.1,154.0,-89.52,-18.26,12.59,-16.08,84.99,-84.37,-89.82,-118.82,-18.72,-47.157423677130346,-60.10672487757748,-73.28878799790266,89.94110981765962,22.62496466558603,14.653315977852186,-31.077423677130355,-145.09672487757746,11.081212002097345,179.76110981765964,141.44496466558599,33.3733159778522,31.077423677130355,145.09672487757746,11.081212002097345,179.76110981765964,141.44496466558599,33.3733159778522,274.91120738072107,ok
10,234.2,-26.6,166.6,-4.63,30.99,10.64,-10.63,97.2,-85.25,-15.73,-74.79,23.02,-42.40901610522799,-60.15862602490065,-69.82605413809624,89.96673649725699,32.97088483891509,7.602744180138279,-31.77901610522798,-157.35862602490064,15.423945861903746,105.696736497257,107.7608848389151,-15.417255819861708,31.77901610522798,157.35862602490064,15.423945861903746,105.696736497257,107.7608848389151,15.417255819861708,221.43044356967582,ok
11,240.1,-12.1,158.5,-26.85,36.38,-6.53,-10.45,97.03,-85.34,-31.2,-70.04,15.29,-40.146636932706954,-60.48048162890631,-68.64504535422304,90.02635784598338,36.613725558482855,11.514897194766611,-29.69663693270695,-157.51048162890632,16.69495464577696,121.22635784598339,106.65372555848285,-3.775102805233388,29.69663693270695,157.51048162890632,16.69495464577696,121.22635784598339,106.65372555848285,3.775102805233388,228.1562227772985,ok
12,57.3,0.0,305.1,63.65,17.54,81.45,-1.84,-49.83,9.31,6.06,15.55,65.47,-81.92283768590583,-82.01035896300343,-66.20465547543795,89.97847611969459,2.436904335086137,-1.9274318097082148,-80.08283768590583,-32.180358963003414,-75.51465547543795,83.91847611969456,-13.113095664913857,-67.39743180970821,80.08283768590583,32.180358963003414,75.51465547543795,83.91847611969456,13.113095664913857,67.39743180970821,157.8226134402234,ok
13,58.0,0.3,304.2,64.54,17.05,82.33,-1.75,-49.74,9.4,6.67,16.17,65.65,-81.80620969241079,-81.89728087880692,-66.21582681095302,89.97850758203386,2.2902544181737143,-1.9395091734963334,-80.05620969241079,-32.157280878806915,-75.61582681095302,83.30850758203383,-13.879745581826285,-67.58950917349634,80.05620969241079,32.157280878806915,75.61582681095302,83.30850758203383,13.879745581826285,67.58950917349634,157.67731990179794,ok
