Index,J1,J2,J3,J4,J5,J6,X,Y,Z,RX,RY,RZ
0,-0.17,23.37,16.17,4.3,-74.61,-2.9,181.6,-5.2,204.5,1.64,55.06,-3.23
1,-13.62,26.19,5.8,-3.42,-67.85,-2.98,188.2,-41.9,215.5,-9.02,53.72,-20.86
2,38.05,44.03,-13.71,28.65,-70.75,-19.07,185.5,107.8,198.1,15.66,55.25,24.1
3,23.11,58.44,-84.9,78.57,-103.88,9.84,168.6,4.7,249.1,85.23,-38.17,8.53
4,20.56,73.56,-84.99,87.97,-86.57,25.83,212.0,10.3,198.3,86.67,-37.0,25.53
5,24.34,77.16,-84.46,93.69,-111.79,29.88,187.8,18.8,174.7,97.47,-35.08,-1.23
6,-21.62,65.65,-85.25,-85.86,-106.69,-3.6,180.4,-4.7,220.4,-91.96,-23.52,-3.74
7,-15.29,58.62,-85.34,-73.91,-92.9,3.42,176.0,16.5,259.6,-75.76,-24.16,-11.2
8,-15.46,73.38,-85.16,-78.83,-83.14,-19.33,213.0,6.7,210.0,-75.9,-29.2,-27.0
9,-16.08,84.99,-84.37,-89.82,-118.82,-18.72,184.2,6.1,154.0,-89.52,-18.26,12.59
10,-10.63,97.2,-85.25,-15.73,-74.79,23.02,234.2,-26.6,166.6,-4.63,30.99,10.64
11,-10.45,97.03,-85.34,-31.2,-70.04,15.29,240.1,-12.1,158.5,-26.85,36.38,-6.53
12,-1.84,-49.83,9.31,6.06,15.55,65.47,57.3,0.0,305.1,63.65,17.54,81.45
13,-1.75,-49.74,9.4,6.67,16.17,65.65,58.0,0.3,304.2,64.54,17.05,82.33
